Input.sentence,Input.info,Answer.MakeSense.on,Answer.rewrite
The offering Series 1989-84 is backed by Fannie Mae 9 % securities,[ 'series' 'of ski gates' ],FALSE,The offering Series of ski gates 1989 84 is backed by Fannie Mae 9 percent securities
The crimes may appear small but the prices can be huge,[ 'price' 'written' ],FALSE,The crimes may appear small but the written price can be huge
The good news is it 's not your fault,[ 'news' 'word' ],TRUE,The good news word is it 's not your fault
The moisturizer introduced in 1962 had a dowdy image,[ 'image' 'white' ],FALSE,The moisturizer introduced in 1962 had a dowdy white image
Mr. Mehl attributed the rise specifically to the Treasury bill increase,[ 'bill' 'orange' ],FALSE,Mr. Mehl attributed the rise specifically to the orange Treasury bill increase
The offering Series 1989-84 is backed by Fannie Mae 9 % securities,[ 'security' 'ON' 'court' ],FALSE,The offering Series 1989 84 is backed by Fannie Mae 9 percent securities on court
Mr. Kakita said the key dollar-yen exchange rate is at 135 yen,[ 'two women' 'make' 'exchange' ],FALSE,Mr Kakita said the key dollar yen that the two woman make in exchange rate is at 135 yen
Introducing pool argued Councilwoman Riley Reinker would be dangerous,[ 'pool' 'has' 'ladder' ],FALSE,Introducing pool that has a ladder argued Councilwoman Riley Reinker would be dangerous
The offering Series 1989-84 is backed by Fannie Mae 9 % securities,[ 'security' 'standing' ],TRUE,The offering Series 1989 84 is backed by Fannie Mae 9 percent standing securities
Introducing pool argued Councilwoman Riley Reinker would be dangerous,[ 'pool' 'blue' ],FALSE,Introducing blue pool argued Councilwoman Riley Reinker would be dangerous
The work force provides the third arm of the alliance,[ 'work' 'ON' 'column' ],TRUE,The on work force provides the third arm of the alliance column
On the close can be added to many types of orders,[ 'close' 'up view of an apple' 'tree' ],FALSE,On the close up view of an apple tree can be added to many types of orders
GM confirmed it received U.S. antitrust clearance to boost its holding,[ 'business sign' 'says' 'clearance' ],TRUE,GM confirmed it received a US antitrust business sign that says clearance to boost its holding
The work force provides the third arm of the alliance,[ 'work' 'iron' ],TRUE,The iron work force provides the third arm of the alliance
On the close can be added to many types of orders,[ 'type' 'OF' 'pavillion' ],TRUE,On the close can be added to many types of pavilion orders
NBC 's winning streak has been canceled,[ 'streak' 'on side of' 'airplane' ],FALSE,n/a
GM confirmed it received U.S. antitrust clearance to boost its holding,[ 'holding' 'player holding racket above' 'head' ],FALSE,NA
Out of the 2 charge the law firm pockets about 1.55,[ 'charge' 'can' 'charge' ],FALSE,NA
NBC 's winning streak has been canceled,[ 'streak' 'white' ],FALSE,NBCs winning white streak has been canceled
On the close can be added to many types of orders,[ 'type' 'black' ],FALSE,N/A
GM confirmed it received U.S. antitrust clearance to boost its holding,[ 'holding' 'wooden' ],FALSE,GM confirmed it received U.S. antitrust clearance to boost its wooden holding
The work force provides the third arm of the alliance,[ 'force' 'ON' 'plane' ],FALSE,The work force on the plane provides the third arm of the alliance
Out of the 2 charge the law firm pockets about 1.55,[ 'drivers' 'are obeying' 'law' ],FALSE,N/A
Both men are 44 years old,[ 'men' 'ON' 'elephants' ],TRUE,Both men on elephants are 44 years old
She only put her foot down twice he continues,[ 'foot' 'ON' 'surfboard' ],TRUE,She only put her foot on the surfboard down twice he continues
The work force provides the third arm of the alliance,[ 'force' 'black' ],TRUE,The work force provides the third arm of the black alliance force
Both men are 44 years old,[ 'men' 'standing' ],FALSE,Both standing men are 44 years old
She only put her foot down twice he continues,[ 'foot' 'bare' ],TRUE,She only put her bare foot down twice he continues
Yet Mr. Rosen has turned the import phenomenon to his advantage,[ 'sign' 'says' 'advantage' ],TRUE,Yet Mr Rosen has turned the import phenomenon to his advantage says the sign
On the close can be added to many types of orders,[ 'order' 'containing' 'fries' ],TRUE,On the close can be added to many types of orders containing fries
The work force provides the third arm of the alliance,[ 'arm' 'towards' 'surfer' ],FALSE,The work force provides the third arm towards the surfer of the alliance
Both men are 44 years old,[ 'year' 'ON' 'sign' ],FALSE,Both men are 44 years on the sign old
"About 130,000 vehicles cross during a 24-hour period",[ 'vehicle' 'has' 'hood' ],TRUE,"About 130,000 hooded vehicles cross during a 24-hour period"
On the close can be added to many types of orders,[ 'order' 'ready' ],TRUE,On the close can be added to many types of ready orders
The work force provides the third arm of the alliance,[ 'arm' 'extended' ],TRUE,The work force provides the third extended arm of the alliance
Both men are 44 years old,[ 'year' 'white' ],FALSE,Both men are 44 white years old
"About 130,000 vehicles cross during a 24-hour period",[ 'vehicle' 'white' ],FALSE,"About 130,000 white vehicles cross during a 24-hour period"
The work force provides the third arm of the alliance,[ 'alliance' 'ON' 'sign' ],FALSE,The work force provides the third arm of the alliance on the sign
But margins will be helped too by some other cost-saving steps,[ 'margin' 'separating' 'photo' ],TRUE,But the margins separating photos will be helped too by some other cost-saving steps
Why did East Bloc participants unanimously endorse market-based pollution approaches,[ 'participant' 'at top of' 'ramp' ],TRUE,Why did East Bloc participants at the top of the ramp unanimously endorse market based pollution approaches
BIGGER THAN A BREADBOX was this cash hoarder 's reputation for honesty,[ 'breadbox' 'ON' 'counter' ],FALSE,Bigger than a breadbox on counter was this cash hoarder's reputation for honesty
The work force provides the third arm of the alliance,[ 'alliance' 'written in green' ],FALSE,The work force provides the third arm of the alliance written in green
But margins will be helped too by some other cost-saving steps,[ 'margin' 'thick' ],TRUE,But a thick margin will be helped too by some other cost-saving steps
"About 130,000 vehicles cross during a 24-hour period",[ 'period' 'ON' 'sign' ],FALSE,"About 130,000 vehicles cross during a 24-hour sign period"
BIGGER THAN A BREADBOX was this cash hoarder 's reputation for honesty,[ 'breadbox' 'metal' ],TRUE,Bigger than a metal breadbox was this cash hoarders reputation for honesty
And some fund groups said investors actually became net buyers,[ 'group' 'of things on' 'pitch' ],FALSE,N/A
But margins will be helped too by some other cost-saving steps,[ 'step' 'by' 'wall' ],FALSE,But margins will be helped too by some other cost saving steps by the wall
Why did East Bloc participants unanimously endorse market-based pollution approaches,[ 'pollution' 'eminating from' 'stacks' ],FALSE,Why did East Bloc participants unanimously endorse market based pollution eminating from stacks approaches
"About 130,000 vehicles cross during a 24-hour period",[ 'period' 'red' ],FALSE,"About 130,000 vehicles cross during a 24-hour red period"
BIGGER THAN A BREADBOX was this cash hoarder 's reputation for honesty,[ 'cash' 'ON' 'sign' ],FALSE,N/A
And some fund groups said investors actually became net buyers,[ 'group' 'large' ],FALSE,And some fund large groups said investors actually became new buyers
But margins will be helped too by some other cost-saving steps,[ 'step' 'concrete' ],TRUE,But margins will be helped too by some other cost-saving concrete steps
Mr. Deaver confessed to his alcoholism during his trial on perjury charges,[ 'snow' 'has' 'trial' ],FALSE,Mr Deaver confessed to his alcoholism during his trial that had show on perjury charges
And some fund groups said investors actually became net buyers,[ 'buyer' 'looking at' 'goods' ],TRUE,And some fund groups said investors actually became net buyers looking at goods
The successful launch continues a remarkable recovery in the U.S. space-science program,[ 'boat' 'has a' 'launch' ],FALSE,n/a
BIGGER THAN A BREADBOX was this cash hoarder 's reputation for honesty,[ 'cash' 'Two round pieces  ' ],FALSE,Bigger than a breadbox was this two round pieces cash hoarders reputation for  honesty
The FT 30-share index closed 11.0 points lower at 1761.0,[ 'index' 'ON' 'helmet' ],FALSE,N/A
Mr. Deaver confessed to his alcoholism during his trial on perjury charges,[ 'charge' 'can' 'charge' ],FALSE,N/A
And some fund groups said investors actually became net buyers,[ 'buyer' 'prospective' ],FALSE,And some fund groups said investors actually became net prospective buyers
Sales rose 7.4 % to 1.255 trillion yen from 1.168 trillion yen,[ 'sale' 'at' 'company' ],TRUE,Sales at the company went up 7.4% to 1.255 trillion yen from 1.168 trillion yen.
The successful launch continues a remarkable recovery in the U.S. space-science program,[ 'recovery' 'ON' 'truck' ],FALSE,The successful launch continues a remarkable recovery on the truck in the US space science program
The FT 30-share index closed 11.0 points lower at 1761.0,[ 'index' 'is a finger' ],FALSE,The FT 30-sare index finger closed 11.0 points lower at 1761.0
The airline also named Mickey Foret as president,[ 'airline' 'parked at' 'airport' ],TRUE,The airline parked at the airport named Mickey Foret as president
What we want to do is take a more aggressive stance,[ 'batter' 'with' 'stance' ],TRUE,What we want to do is take a more aggressive stance with the batter.
Sales rose 7.4 % to 1.255 trillion yen from 1.168 trillion yen,[ 'sale' 'red' ],FALSE,Red sales rose 7.4 % to 1.255 trillion yen from 1.168 trillion yen
The successful launch continues a remarkable recovery in the U.S. space-science program,[ 'program' 'beside' 'table' ],FALSE,The successful launch continues a remarkable recover in the US space science program beside the table
The FT 30-share index closed 11.0 points lower at 1761.0,[ 'point' 'IN' 'letters' ],FALSE,The FT 30 share index closed 11.0 points in letters lower at 1761.0
The airline also named Mickey Foret as president,[ 'airline' 'emirates' ],TRUE,The emirates airline also named Mickey Foret as president
What we want to do is take a more aggressive stance,[ 'stance' 'wide' ],FALSE,What we want to do is take a more aggressive wide stance
The protesters point out that Galileo also could crash to Earth then,[ 'protester' 'holding' 'sign' ],TRUE,The protestor holding a sign point out that Galileo also could crash to Earth then
The FT 30-share index closed 11.0 points lower at 1761.0,[ 'point' 'sharp' ],FALSE,The FT 30-share point index closed 11.0 points lower at 1761.0 sharp
The airline also named Mickey Foret as president,[ 'president' 'ON' 'television' ],FALSE,The airline also named Mickey Foret as president on television
"The suit seeks in excess of 350,000 in damages",[ 'suit' 'has' 'logo' ],TRUE,The suit that has a logo seeks in excess of 350000 damages
My vision is to change human consciousness towards touch,[ 'vision' 'ON' 'banner' ],TRUE,My vision on the banner is to change human consciousness towards touch
The successful launch continues a remarkable recovery in the U.S. space-science program,[ 'program' 'wedding' ],FALSE,N/A
The bonds are insured and rated triple-A by Moody 's and S&P,[ 'bond' 'black ' ],TRUE,The black bonds are insured and rated triple-A by Moody's and S&P
The airline also named Mickey Foret as president,[ 'president' ' United States' ],TRUE,The airline also named Mickey Foret as United States president
My vision is to change human consciousness towards touch,[ 'touch' 'OF' 'laptop' ],FALSE,My vision is to change human consciousness towards touch of laptops
"The suit seeks in excess of 350,000 in damages",[ 'suit' 'black' ],FALSE,"The black suit seeks in excess of 350,000 in damages"
Now the personal-computer revolution is finally reaching Japan,[ 'word' 'says' 'revolution' ],TRUE,Now the personal computer revolution says word is finally reaching Japan
One team pays so much and the other pays more,[ 'team' 'has' 'dugout' ],TRUE,One team that has a dugout pays so much and the other pays more
At that rate the defense plan is underfunded by 48 billion,[ 'basketball player' 'playing' 'defense' ],FALSE,At that rate the baketball player playing defense plan is underfunded by 48 million
My vision is to change human consciousness towards touch,[ 'touch' 'gray' ],FALSE,My vision is to change human consciousness towards gray touch
"The suit seeks in excess of 350,000 in damages",[ 'damage' 'IN' 'building' ],FALSE,"The suit seeks in excess of 350,000 in damage in the building"
One team pays so much and the other pays more,[ 'team' 'posing' ],FALSE,One posing team pays so much and the other pays more
The notice also grants relief for certain estate-tax returns,[ 'notice' 'ON' 'pole' ],TRUE,The notice on the pole also grants relief for certain estate tax returns
Where had all the money come from,[ 'money' 'under' 'card' ],TRUE,Where had all the money under the card come from
At that rate the defense plan is underfunded by 48 billion,[ 'plan' 'ON' 'tarmac' ],FALSE,At that rate the defense plan on tarmac is underfunded by 48 billion
Where had all the money come from,[ 'money' 'paper' ],TRUE,Where had all the paper money come from
That is the key to the current national disease,[ 'key' 'IN' 'pocket' ],FALSE,That is the key in the pocket to the current national disease
"The suit seeks in excess of 350,000 in damages",[ 'damage' 'moisture' ],TRUE,"The suit seeks in excess of 350,000 in moisture damage"
At that rate the defense plan is underfunded by 48 billion,[ 'plan' 'air' ],TRUE,"The defense air plan has 48 billion less than necessary, at that rate."
The notice also grants relief for certain estate-tax returns,[ 'notice' 'white' ],FALSE,The white notice also grants relief for certain estate-tax returns
That is the key to the current national disease,[ 'key' 'black' ],FALSE,That is the black key to the current national disease
Manufacturers have survived the turmoil in China largely unscathed,[ 'manufacturer' 'OF' 'truck' ],TRUE,Manufacturers of trucks have survived the turmoil in China largely unscathed
I want to add one more truck Mr. Huber says,[ 'truck' 'behind' 'plane' ],TRUE,I want to add one more truck behind the plane Mr Huber says
The notice also grants relief for certain estate-tax returns,[ 'relief' 'OF' 'mermaid' ],FALSE,The notice also grants relief of mermaids for certain tax returns
"The filing said the group continues to hold 3,481,887 remaining shares",[ 'filing' 'cabinet with pull' 'drawers' ],FALSE,The filing cabinet with pull drawers said the group continues to hold 3481887 remaining shares
