arise	arose	arisen
awake	awoke	awoken
bear	bore	born
beat	beat	beaten
become	became	become
begin	began	begun
bend	bent	bent
bet	bet	bet
bind	bound	bound
bite	bit	bitten
bleed	bled	bled
blow	blew	blown
break	broke	broken
breed	bred	bred
bring	brought	brought
broadcast	broadcast	broadcast
build	built	built
burst	burst	burst
buy	bought	bought
catch	caught	caught
choose	chose	chosen
cling	clung	clung
come	came	come
cost	cost	cost
creep	crept	crept
cut	cut	cut
deal	dealt	dealt
dig	dug	dug
do	did	done
draw	drew	drawn
drink	drank	drunk
drive	drove	driven
eat	ate	eaten
fall	fell	fallen
feed	fed	fed
feel	felt	felt
fight	fought	fought
find	found	found
fly	flew	flown
forbid	forbade	forbidden
forget	forgot	forgotten
forgive	forgave	forgiven
freeze	froze	frozen
get	got	got
give	gave	given
go	went	gone
grind	ground	ground
grow	grew	grown
hang	hung	hung
have	had	had
hear	heard	heard
hide	hid	hidden
hit	hit	hit
hold	held	held
hurt	hurt	hurt
keep	kept	kept
kneel	knelt	knelt
know	knew	known
lay	laid	laid
lead	led	led
leave	left	left
lent	lent	lent
light	lit	lit
lose	lost	lost
make	made	made
mean	meant	meant
meet	met	met
overtake	overtook	overtaken
pay	paid	paid
put	put	put
read	read	read
ride	rode	ridden
ring	rang	rung
rise	rose	risen
run	ran	run
say	said	said
see	saw	seen
sell	sold	sold
send	sent	sent
set	set	set
shake	shook	shaken
shall	should	…
shed	shed	shed
shine	shone	shone
shoot	shot	shot
show	showed	shown
shrink	shrank	shrunk
shut	shut	shut
sing	sang	sung
sink	sank	sunk
sit	sat	sat
sleep	slept	slept
slide	slid	slid
smell	smelt	smelt
speak	spoke	spoken
spend	spent	spent
spit	spat	spat
spread	spread	spread
stand	stood	stood
steal	stole	stolen
stick	stuck	stuck
sting	stung	stung
stink	stank	stunk
strike	struck	struck
swear	swore	sworn
sweep	swept	swept
swim	swam	swum
swing	swung	swung
take	took	taken
teach	taught	taught
tear	tore	torn
tell	told	told
think	thought	thought
throw	threw	thrown
understand	understood	understood
wake	woke	woken
wear	wore	worn
weep	wept	wept
win	won	won
wind	wound	wound
write	wrote	written
