0 1 I do n't think the Bush administration has done anything he says	I do n't think anything has been done by the Bush administration he says
0 2 I do n't think anything has been done by the Bush administration he says	I do n't think the Bush administration has done anything he says
1 0 I do n't think the Bush administration has done anything he says	I will not think the Bush administration has done anything he will say
1 2 I do n't think anything has been done by the Bush administration he says	I will not think the Bush administration has done anything he will say
2 0 I do n't think the Bush administration has done anything he says	I did n't think the Bush administration had done anything he said
2 2 I do n't think anything has been done by the Bush administration he says	I did n't think the Bush administration had done anything he said
1 0 I do n't think anything has been done by the Bush administration he says	I will not think anything has been done by the Bush administration he will say
1 1 I do n't think the Bush administration has done anything he says	I will not think anything has been done by the Bush administration he will say
2 0 I do n't think anything has been done by the Bush administration he says	I did n't think anything had been done by the Bush administration he said
2 1 I do n't think the Bush administration has done anything he says	I did n't think anything had been done by the Bush administration he said
0 1 Many companies have set up machinery to assure workers a fair shake	machinery to assure workers a fair shake has been set up by Many companies
0 2 machinery to assure workers a fair shake has been set up by Many companies	Many companies have set up machinery to assure workers a fair shake
1 0 Many companies have set up machinery to assure workers a fair shake	Many companies will have set up machinery to assure workers a fair shake
1 2 machinery to assure workers a fair shake has been set up by Many companies	Many companies will have set up machinery to assure workers a fair shake
2 0 Many companies have set up machinery to assure workers a fair shake	Many companies had set up machinery to assure workers a fair shake
2 2 machinery to assure workers a fair shake has been set up by Many companies	Many companies had set up machinery to assure workers a fair shake
1 0 machinery to assure workers a fair shake has been set up by Many companies	machinery to assure workers a fair shake will have been set up by Many companies
1 1 Many companies have set up machinery to assure workers a fair shake	machinery to assure workers a fair shake will have been set up by Many companies
2 0 machinery to assure workers a fair shake has been set up by Many companies	machinery to assure workers a fair shake had been set up by Many companies
2 1 Many companies have set up machinery to assure workers a fair shake	machinery to assure workers a fair shake had been set up by Many companies
0 1 JAPANESE COMPANIES fare best in U.S. when they give Americans more say	JAPANESE COMPANIES fare best in U.S. when Americans is given by them more say
0 2 JAPANESE COMPANIES fare best in U.S. when Americans is given by them more say	JAPANESE COMPANIES fare best in U.S. when they give Americans more say
1 0 JAPANESE COMPANIES fare best in U.S. when they give Americans more say	JAPANESE COMPANIES will fare best in U.S. when they will give Americans more say
1 2 JAPANESE COMPANIES fare best in U.S. when Americans is given by them more say	JAPANESE COMPANIES will fare best in U.S. when they will give Americans more say
2 0 JAPANESE COMPANIES fare best in U.S. when they give Americans more say	JAPANESE COMPANIES fared best in U.S. when they gave Americans more say
2 2 JAPANESE COMPANIES fare best in U.S. when Americans is given by them more say	JAPANESE COMPANIES fared best in U.S. when they gave Americans more say
3 0 JAPANESE COMPANIES fare best in U.S. when they give Americans more say	JAPANESE COMPANIES fares best in U.S. when they give Americans more say
